,date,diff
149,2018-04-05,0.3935119887165033
150,2018-04-04,0.9507914120043874
151,2018-04-03,-0.19166274878545794
152,2018-04-02,-0.23836389280677062
153,2018-03-29,0.1822598338818358
154,2018-03-28,-0.3330199028365468
155,2018-03-27,-0.8978216580473283
156,2018-03-26,-0.21893120200595467
157,2018-03-23,-0.424228177401661
158,2018-03-22,-0.27002037298229054
159,2018-03-21,0.07694718696128999
160,2018-03-20,-0.2552891396332866
161,2018-03-19,-0.21203573107663415
162,2018-03-16,-0.26437862404011825
163,2018-03-15,-0.23836389280676973
164,2018-03-14,-0.43739225826672967
165,2018-03-13,-0.21642375803165825
166,2018-03-12,0.40981037454944247
167,2018-03-09,-0.023664002507444673
168,2018-03-08,-0.2377370318131956
169,2018-03-07,0.09512615577495684
170,2018-03-06,-0.2938410907381297
